Region,ПКОрг,ГлобИС,ИнтОрг,ОргWS,ПКРаб,ЭДО,ПКДХ,ИнтДХ,ШПДДХ
Leningrad,1.038786707342142,1.1225808855874069,1.1524406227338895,1.4390665833114142,-0.8605492701952518,0.3035227774340751,0.5029458133340289,0.016633197560649505,-0.2343257024590702
Murmansk,0.2707797047189202,0.05518485163511398,0.008694930822261877,0.38228250067972674,-0.00625096322175766,-0.05203247613155732,1.4739881841841216,1.1561125038674525,1.153721831749233
Novgorod,0.7486507285733688,0.882040934274213,0.914779180258747,0.0013487034520253394,-0.17711062461645652,1.2108017003256877,-0.10742367691460172,-0.5358416176184062,-0.3490403747076902
Pskov,-0.2753586082575935,0.010083610763890827,0.09781797175044189,-0.19526228866549805,-0.6896896088005531,0.364825407359184,-0.7316652010325185,-1.140110946720498,-0.8308419981518939
Saint-Petersburg (city),0.9875862405005942,1.1977496203727795,1.2415636636620695,2.643308910031245,2.2149246349093272,0.3525648813741629,2.431158521164928,2.140208268405143,1.4175655779210588
Adygheya,0.3561138161215004,0.3257922968624572,0.4246024551537644,0.6403344278339762,-0.5188299474058542,-0.6895798273526895,-1.6056033347976018,0.12022222540672384,0.4769052654823743
Kalmykiya,-0.4630936533432689,-0.6514012553473871,-0.5854586753655965,-1.4363691764073627,1.1897666665411342,-0.1255956320416873,0.08678479725541763,0.46551898489363336,0.09834684706192852
Krimea,1.2947890415498824,1.438289571685971,1.5089327864466053,-0.03551585757000992,-1.0314089315899508,0.7694227648649025,1.3352678454912512,1.0525234760213782,1.25696503677299
Krasnodar,0.16837877103582494,0.1904885742487856,0.24635637329740648,-0.19526228866549805,-0.6896896088005531,-1.1432192887984949,0.7803864907197696,0.6899618785601241,-0.25726863690879453
Astrakhan,0.23664606015788764,0.3107585499053814,0.3800409346896733,0.07507782549609672,0.5063280209623389,2.2652069350375603,0.7942585245890559,0.46551898489363336,0.4769052654823743
Volgograd,-1.623637568418359,-1.553426072771859,-1.4469814043379907,-0.8711125740694842,-0.00625096322175766,-0.7386219312927764,0.4058415762490192,0.15475190135541284,0.5457340688315456
Rostov,-1.248167478247008,-0.9370424475318041,-0.8973893186142212,-0.20755047567284257,-0.00625096322175766,-0.30950352181701407,0.7665144568504834,0.8453454203292319,0.866935151127683
Sivastopol (city),-3.893524931726994,-3.162036997178834,-3.0511961410452075,-1.080011753194352,0.5063280209623389,-0.5424535155324277,1.4185000487069728,1.2597015317135243,1.3946226434713345
Daghestan,-3.3985870855920277,-3.192104491092983,-3.066049981199903,-1.8910320956791355,-2.227426561352843,-3.0313402904918503,-1.2588024880654256,0.18928157730410428,-0.15402543188503584
Ingushetiya,1.2947890415498824,1.5435258003854933,1.6277635076841768,3.3068710084278843,-1.7148475771687461,3.6874279493000865,-0.19065588013032317,1.915765374738652,-1.633844703892234
Kabardino-Balkariya,-0.15589085229398075,-0.6814687492615367,-0.68943555644847,-0.6007724599078894,-1.7148475771687461,-1.008353502963256,-0.5097126591239247,1.104317989944414,0.752220478879063
Karachaevo-Cherkesiya,-0.019356274049852927,0.10028609250633928,0.1869410126786198,0.35770612666503604,-0.5188299474058542,0.291262251449054,-0.3432482526924798,1.121582827918761,1.2799079712227144
Noth.Osetiya-Alaniya,-0.29242543053810854,-1.3730211092869662,-1.2835891626363283,-0.1829741016581527,-1.2022685929846495,-1.3026061266037787,2.1259737760406128,2.22653245827687,1.1651932989740945
Chechen,0.7657175508538863,0.7016359707893204,0.7959484590211758,0.664910801848666,-0.5188299474058542,-3.202987654282155,-4.504858413478593,-0.05242615433673093,-4.306696567285081
Stavropol,0.9705194182200767,1.107547138630331,1.1375867825791939,1.1318619081277843,0.33546835956764004,1.0391543365353821,-0.3155041849539073,0.24107609122714022,0.4654337982575129
Bashkortostan,0.7145170840123362,0.8670071873171394,0.6474100574742113,0.8246572329441542,-0.17711062461645652,0.43838856326931397,0.017424627908982426,0.36192995704755904,0.36219059323375424
Mariy-El,-0.5654945870263666,-0.47099629186249453,-0.3775049131998452,-0.6130606469152348,-0.5188299474058542,0.033791205763595504,-1.2310584203268513,-0.5358416176184062,0.12128978151165286
Mordoviya,-1.7772389689430044,-1.4181223501581894,-1.387566043719204,-1.2766227453118755,-0.34797028601115537,-0.32176404780203516,-0.9120016413332497,-1.5372022201304434,-1.2208718837972017
Tatarstan,1.2606553969888499,1.3330533429864488,1.3455405447449431,0.29626519162831,0.1646086981729412,1.1494990704005787,0.8774907278047793,1.553203777277398,1.4634514468205058
Udmurtiya,-0.34362589737965615,-0.17032135272100393,-0.1546973108793983,0.2102478825768941,0.1646086981729412,0.08283330970368334,-0.21839994786889766,-0.43225258977233194,0.05246097816247986
Chuvashiya,0.06597783735272726,0.2806910559912319,0.32062557407088876,2.1149168687153996,-0.17711062461645652,0.4751701412243807,-1.56398723318974,-1.6407912479765154,-1.1061572115485818
Perm,0.014777370511179631,0.14538733337756243,0.09781797175044189,-0.5393315248711633,0.33546835956764004,0.05831225773363942,-0.3432482526924798,-0.8638735391309689,-0.2802115713585172
Kirov,0.06597783735272726,-0.14025385880685445,-0.12498963057000498,-0.9202653220988648,0.1646086981729412,0.4996911931944229,-1.4946270638433048,-2.2623254150529526,-0.9684996048502382
Nizhniy Novgorod,0.8169180176954338,0.942175922102512,1.003902221186925,0.8000808589294635,-0.00625096322175766,0.6468175050146846,-0.5513287607317855,-0.9156680530540048,-0.07372516131100151
Orenburg,0.6803834394513061,0.8068721994888404,0.7662407787117825,0.8000808589294635,-0.8605492701952518,0.7449017128948585,1.0994432697133711,0.9489344481753063,1.1881362334238188
Penza,0.7145170840123362,0.4761297664332025,0.5285793362366379,0.8000808589294635,0.5063280209623389,0.09509383568870441,-0.05193554143745278,-0.5703712935670953,0.029518043712755532
